class,age,sex,survived,predictions,probabilities
3rd class,adults,women,yes,no,0.516
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
3rd class,adults,women,no,no,0.516
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
3rd class,adults,man,yes,no,0.8464
2nd class,adults,man,no,no,0.8632
2nd class,adults,women,yes,yes,0.8408
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,no,no,0.516
2nd class,adults,women,no,yes,0.8408
1st class,adults,women,yes,yes,0.9381
3rd class,adults,women,yes,no,0.516
1st class,adults,man,no,no,0.6667
3rd class,adults,women,no,no,0.516
1st class,adults,women,yes,yes,0.9381
3rd class,adults,women,no,no,0.516
1st class,adults,man,yes,no,0.6667
1st class,adults,women,yes,yes,0.9381
1st class,adults,man,no,no,0.6667
1st class,adults,man,no,no,0.6667
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,no,no,0.516
3rd class,child,man,no,no,0.6735
1st class,child,man,yes,yes,0.7235
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,yes,no,0.516
1st class,adults,man,no,no,0.6667
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,no,no,0.516
1st class,adults,man,no,no,0.6667
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
1st class,adults,women,yes,yes,0.9381
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
1st class,adults,man,no,no,0.6667
2nd class,adults,women,yes,yes,0.8408
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,no,no,0.516
2nd class,adults,women,yes,yes,0.8408
1st class,adults,man,no,no,0.6667
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
2nd class,adults,women,yes,yes,0.8408
3rd class,adults,man,no,no,0.8464
1st class,adults,man,no,no,0.6667
3rd class,adults,man,no,no,0.8464
3rd class,child,women,no,yes,0.6441
3rd class,adults,man,yes,no,0.8464
2nd class,adults,women,yes,yes,0.8408
3rd class,adults,women,no,no,0.516
1st class,adults,man,yes,no,0.6667
2nd class,adults,man,no,no,0.8632
3rd class,child,women,no,yes,0.6441
3rd class,adults,man,no,no,0.8464
1st class,adults,man,yes,no,0.6667
2nd class,adults,man,no,no,0.8632
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
1st class,adults,women,yes,yes,0.9381
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,yes,no,0.516
2nd class,adults,women,yes,yes,0.8408
1st class,adults,man,no,no,0.6667
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,yes,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,yes,no,0.516
3rd class,adults,man,no,no,0.8464
2nd class,adults,women,yes,yes,0.8408
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,yes,no,0.516
3rd class,adults,women,no,no,0.516
1st class,adults,women,yes,yes,0.9381
2nd class,adults,women,yes,yes,0.8408
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,no,no,0.8464
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,no,no,0.8464
1st class,adults,man,no,no,0.6667
2nd class,adults,women,yes,yes,0.8408
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
3rd class,adults,women,yes,no,0.516
2nd class,adults,women,yes,yes,0.8408
1st class,adults,man,yes,no,0.6667
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,women,yes,no,0.516
3rd class,child,man,yes,no,0.6735
2nd class,adults,man,no,no,0.8632
3rd class,adults,man,yes,no,0.8464
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
3rd class,adults,man,no,no,0.8464
3rd class,child,women,no,yes,0.6441
3rd class,adults,women,no,no,0.516
3rd class,child,women,no,yes,0.6441
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,no,no,0.8464
2nd class,adults,women,yes,yes,0.8408
2nd class,adults,man,no,no,0.8632
3rd class,child,man,no,no,0.6735
3rd class,adults,man,no,no,0.8464
1st class,adults,women,yes,yes,0.9381
2nd class,adults,women,no,yes,0.8408
3rd class,adults,women,no,no,0.516
3rd class,adults,man,no,no,0.8464
3rd class,adults,man,yes,no,0.8464
1st class,adults,man,no,no,0.6667
3rd class,child,women,yes,yes,0.6441
